Region,Regions-ID,KV,Kreistyp,Wert,Bundeswert
Friesland,3455,NI,Verdichtetes Umland,2.92,3.11
Saarbrücken,10041,SL,Verdichtetes Umland,2.92,3.11
Holzminden,3255,NI,Ländlicher Raum,2.9,3.11
Gießen,6531,HE,Verdichtetes Umland,2.9,3.11
Cochem-Zell,7135,RP,Ländlicher Raum,2.9,3.11
Altötting,9171,BY,Verdichtetes Umland,2.9,3.11
Berlin,11000,BE,Kernstädte,2.9,3.11
Bochum,5911,WL,Kernstädte,2.88,3.11
Neu-Ulm,9775,BY,Verdichtetes Umland,2.88,3.11
Uelzen,3360,NI,Ländlicher Raum,2.87,3.11
Steinfurt,5566,WL,Verdichtetes Umland,2.87,3.11
Rottweil,8325,BW,Verdichtetes Umland,2.87,3.11
Berchtesgadener Land,9172,BY,Ländliches Umland,2.87,3.11
Trier,7211,RP,Kernstädte,2.86,3.11
Dortmund,5913,WL,Kernstädte,2.85,3.11
Bad Dürkheim,7332,RP,Verdichtetes Umland,2.85,3.11
Freising,9178,BY,Verdichtetes Umland,2.83,3.11
Prignitz,12070,BB,Ländlicher Raum,2.83,3.11
Wittmund,3462,NI,Ländlicher Raum,2.82,3.11
Paderborn,5774,WL,Verdichtetes Umland,2.82,3.11
Plön,1057,SH,Ländliches Umland,2.81,3.11
Herne,5916,WL,Kernstädte,2.81,3.11
Mannheim,8222,BW,Kernstädte,2.81,3.11
Oberallgäu,9780,BY,Ländlicher Raum,2.81,3.11
Wolfsburg,3103,NI,Kernstädte,2.8,3.11
Osterholz,3356,NI,Verdichtetes Umland,2.8,3.11
Ingolstadt,9161,BY,Kernstädte,2.79,3.11
Bergstraße,6431,HE,Verdichtetes Umland,2.78,3.11
Ostalbkreis,8136,BW,Verdichtetes Umland,2.78,3.11
Nienburg,3256,NI,Ländlicher Raum,2.77,3.11
Rhein-Neckar-Kreis,8226,BW,Verdichtetes Umland,2.77,3.11
Schaumburg,3257,NI,Verdichtetes Umland,2.76,3.11
Lk.Oldenburg,3458,NI,Ländliches Umland,2.76,3.11
Bottrop,5512,WL,Kernstädte,2.76,3.11
Vorpommern-Greifswald,13075,MV,Ländlicher Raum,2.76,3.11
Sigmaringen,8437,BW,Ländliches Umland,2.75,3.11
Erding,9177,BY,Ländliches Umland,2.75,3.11
Ostallgäu,9777,BY,Ländlicher Raum,2.75,3.11
Flensburg,1001,SH,Ländlicher Raum,2.74,3.11
Diepholz,3251,NI,Ländliches Umland,2.74,3.11
Leverkusen,5316,NO,Kernstädte,2.73,3.11
Rastatt,8216,BW,Verdichtetes Umland,2.73,3.11
Barnim,12060,BB,Ländliches Umland,2.73,3.11
Hagen,5914,WL,Kernstädte,2.72,3.11
Odenwaldkreis,6437,HE,Verdichtetes Umland,2.72,3.11
Ravensburg,8436,BW,Verdichtetes Umland,2.72,3.11
Zollernalbkreis,8417,BW,Verdichtetes Umland,2.72,3.11
Borken,5554,WL,Verdichtetes Umland,2.71,3.11
Gelsenkirchen,5513,WL,Kernstädte,2.71,3.11
Euskirchen,5366,NO,Verdichtetes Umland,2.71,3.11
Limburg-Weilburg,6533,HE,Verdichtetes Umland,2.71,3.11
Tübingen,8416,BW,Verdichtetes Umland,2.71,3.11
Rendsburg-Eckernförde,1058,SH,Ländliches Umland,2.7,3.11
Delmenhorst,3401,NI,Ländliches Umland,2.7,3.11
Duisburg,5112,NO,Kernstädte,2.7,3.11
Essen,5113,NO,Kernstädte,2.69,3.11
Eisenach,16056,TH,Ländliches Umland,2.69,3.11
Westerwaldkreis,7143,RP,Verdichtetes Umland,2.68,3.11
Rostock,13003,MV,Kernstädte,2.67,3.11
Pforzheim,8231,BW,Kernstädte,2.65,3.11
Vorpommern-Rügen,13073,MV,Ländlicher Raum,2.65,3.11
Märkisch-Oderland,12064,BB,Ländlicher Raum,2.64,3.11
Ammerland,3451,NI,Verdichtetes Umland,2.62,3.11
Südliche Weinstr.,7337,RP,Verdichtetes Umland,2.62,3.11
Lk.Aschaffenburg,9671,BY,Verdichtetes Umland,2.62,3.11
Unterallgäu,9778,BY,Ländliches Umland,2.62,3.11
Leipzig,14713,SN,Kernstädte,2.62,3.11
Bremen,4011,HB,Kernstädte,2.61,3.11
Lüchow-Dannenberg,3354,NI,Ländlicher Raum,2.61,3.11
Mettmann,5158,NO,Verdichtetes Umland,2.61,3.11
Heilbronn,8121,BW,Kernstädte,2.61,3.11
Schleswig-Flensburg,1059,SH,Ländlicher Raum,2.6,3.11
Viersen,5166,NO,Verdichtetes Umland,2.6,3.11
Wesel,5170,NO,Verdichtetes Umland,2.6,3.11
Kassel,6611,HE,Kernstädte,2.6,3.11
Schwerin,13004,MV,Ländliches Umland,2.6,3.11
Nordfriesland,1054,SH,Ländlicher Raum,2.59,3.11
Ennepe-Ruhr-Kreis,5954,WL,Verdichtetes Umland,2.59,3.11
Ortenaukreis,8317,BW,Verdichtetes Umland,2.59,3.11
Heidelberg,8221,BW,Kernstädte,2.58,3.11
Nürnberg,9564,BY,Kernstädte,2.58,3.11
Esslingen,8116,BW,Verdichtetes Umland,2.57,3.11
Erlangen,9562,BY,Kernstädte,2.57,3.11
Soest,5974,WL,Verdichtetes Umland,2.56,3.11
Ostprignitz-Ruppin,12068,BB,Ländlicher Raum,2.56,3.11
Wuppertal,5124,NO,Kernstädte,2.55,3.11
